dataset_name,idx,lambda,snr_A,snr_B,si_snr_A,si_snr_B,sdr_A,sdr_B,si_sdr_A,si_sdr_B,snr_i_A,snr_i_B,si_snr_i_A,si_snr_i_B,sdr_i_A,sdr_i_B,si_sdr_i_A,si_sdr_i_B
VGGSound,142,13,-11.859516143798828,-0.0008628650684840977,-31.772045135498047,-57.28880310058594,-19.87640380859375,-25.461746215820312,-31.773372650146484,-57.28110885620117,-2.8225135803222656,-9.037865428545047,-22.73496437072754,-66.32579898834229,-10.974601745605469,-34.51293468475342,-22.736299514770508,-66.31810188293457
Audioset,5238,14,-2.8586502075195312,-0.002280375687405467,-35.131736755371094,-43.571998596191406,-19.65447998046875,-16.768177032470703,-35.13164138793945,-43.560386657714844,-2.9234635829925537,0.06253318605013192,-35.29667389392853,-43.60869747027755,-19.958794236183167,-16.906925857067108,-35.296531677246094,-43.59713840857148
ESC50,1309,14,-0.9511368274688721,-1.435969591140747,-29.136442184448242,-37.28010940551758,-13.521271705627441,-9.54149341583252,-29.13892364501953,-37.2795295715332,-1.4093320667743683,-0.9777744114398956,-29.591674327850342,-36.81865409016609,-14.016078442335129,-9.127388268709183,-29.594153493642807,-36.818040281534195
VGGSound,142,14,-11.899222373962402,-0.0008864259580150247,-33.982662200927734,-56.463134765625,-20.407670974731445,-25.4676570892334,-33.98471450805664,-56.45513153076172,-2.86221981048584,-9.037888989434578,-24.945581436157227,-65.50013065338135,-11.505868911743164,-34.518845558166504,-24.947641372680664,-65.49212455749512
Audioset,5238,15,-1.8458223342895508,-3.274035692214966,-44.75101089477539,-13.008768081665039,-22.45997428894043,-5.150769233703613,-44.75143051147461,-13.00799560546875,-1.9106357097625732,-3.2092221304774284,-44.915948033332825,-13.04546695575118,-22.764288544654846,-5.289518058300018,-44.91632080078125,-13.044747356325388
ESC50,1309,15,-1.0739161968231201,-1.2677432298660278,-34.32275390625,-51.4159049987793,-16.013593673706055,-9.717755317687988,-34.32694625854492,-51.4119987487793,-1.5321114361286163,-0.8095480501651764,-34.7779860496521,-50.95444968342781,-16.508400410413742,-9.303650170564651,-34.7821761071682,-50.95050945878029
VGGSound,142,15,-11.77886962890625,-0.0025194352492690086,-34.42597198486328,-40.40894317626953,-19.915185928344727,-24.816997528076172,-34.428131103515625,-40.41058349609375,-2.7418670654296875,-9.039521998725832,-25.388891220092773,-49.44593906402588,-11.013383865356445,-33.86818599700928,-25.39105796813965,-49.44757652282715
Audioset,5238,16,-2.5428316593170166,-0.003082559211179614,-27.372190475463867,-52.99045181274414,-16.140989303588867,-18.572237014770508,-27.37218475341797,-52.95946502685547,-2.607645034790039,0.06173100252635777,-27.5371276140213,-53.02715068683028,-16.445303559303284,-18.710985839366913,-27.53707504272461,-52.99621677771211
ESC50,1309,16,-0.4694547951221466,-1.7434149980545044,-38.920589447021484,-34.81332778930664,-14.701645851135254,-9.218099594116211,-38.921485900878906,-34.812889099121094,-0.9276500344276428,-1.285219818353653,-39.375821590423584,-34.351872473955154,-15.196452587842941,-8.803994446992874,-39.37671574950218,-34.351399809122086
VGGSound,142,16,-11.89145278930664,-0.0008840957889333367,-32.61887741088867,-56.54643249511719,-19.882936477661133,-25.467662811279297,-32.620452880859375,-56.538429260253906,-2.854450225830078,-9.037886659265496,-23.581796646118164,-65.58342838287354,-10.981134414672852,-34.5188512802124,-23.5833797454834,-65.5754222869873
